name,alt_name,predicted_gender,article_count,full_count
Robert B. Stanton,,man,5,9
John R. Murdock,,man,5,9
Frederick Kesler,,man,5,9
Harold Schindler,,man,6,9
Edmund Carlisle,,man,5,9
William Budge,,man,5,9
James T. Hammond,,man,7,9
Joseph Williams,,man,6,9
Calvin Coolidge,,man,7,9
Henry E. Huntington,,man,6,9
N. Eldon Tanner,,man,5,9
Horace M. Albright,,man,6,9
John Scott,,man,7,9
Richard Kletting,,man,6,9
Don B. Colton,,man,7,9
Ben McCulloch,,man,8,9
Don Harris,,man,4,9
David McKenzie,,man,4,9
Eugene O'Connell,,man,4,9
Joseph Russ,,man,4,9
Thomas Weir,,man,4,9
Orson Spencer Hall,,man,4,9
Marsena Cannon,,man,4,9
Nelson Higgins,,man,5,9
Warren Snow,,man,6,9
Frank Francis,,man,4,9
George F. Gibbs,,man,6,9
Frank Jonas,,man,6,9
Marcus Whitman,,man,5,9
Leo Fairbanks,,man,4,9
Richard Cook,,man,3,9
James Kirkham,,man,3,9
Ralph Crafts,,man,3,9
Harvey Cluff,,man,3,9
Warren Foster,,man,3,9
Alexander Majors,,man,3,9
Ab Jenkins,,man,4,9
William Price,,man,3,9
Appleton Harmon,,man,5,9
Frank Lloyd Wright,,man,6,9
Sterling M. McMurrin,,man,5,9
Howard Balsley,,man,2,9
Hyrum Stewart,,man,2,9
George Isom,,man,2,9
Amos Howe,,man,2,9
Bill Cody,,man,2,9
Donald Scott,,man,2,9
James Jepson,,man,3,9
Leonard H. Swett,,man,2,9
Henry W. Esplin,,man,2,9
Kent Frost,,man,2,9
Stephen Russell,,man,2,9
Pat Kane,,man,3,9
Hugh F. O'Neil,,man,3,9
Michael R. Polk,,man,1,9
Harold Bride,,man,1,9
Billy Van,,man,1,9
Reuben G. Miller,,man,1,9
Willie Ottogary,,man,1,9
Nathaniel Baldwin,,man,1,9
Ammon Tenney,,man,2,9
Bishop Toyn,,man,1,9
Nathan Davis,,man,2,9
Oscar Eliason,,man,1,9
Gardner Hollow,,man,1,9
Isaac Whitehouse,,man,1,9
Philip Klingensmith,,man,3,9
Shayne Mathews,,man,1,9
John Kensler,,man,1,9
Wes Bitters,,man,1,9
Willie Johnson,,man,3,9
E. H. Groves,,man,3,9
Jas Lewis,,man,3,9
F. Ross Peterson,,man,6,9
Emma Lucy,,woman,8,9
Mary Ann Angell,,woman,7,9
May Anderson,,woman,5,9
Louisa Wetherill,,woman,5,9
Sara Alexander,,woman,4,9
Cady Stanton,,woman,6,9
Mary Baker,,woman,4,9
Emma Lee,,woman,4,9
Mary Judd,,woman,2,9
Alice Chapin,,woman,2,9
Mary Margaret,,woman,2,9
Annie Palmer,,woman,2,9
Maude Porter,,woman,2,9
Mattie Cannon,,woman,1,9
Ellen Thompson,,woman,1,9
Queen Victoria,,woman,9,9
Edward Kelly,,man,7,8
Austin E. Fife,AUSTIN E. FIFE,man,7,8
William James,,man,6,8
Jordan Canal,,man,4,8
Samuel W. Taylor,,man,5,8
Louis Buchman,,man,5,8
Leo Lyman,,man,7,8
Dean L. May,,man,8,8
Virginia Hanson,,woman,3,8
Josiah F. Gibbs,,man,7,8
James K. Polk,,man,8,8
Lyndon Johnson,,man,7,8
James S. Brown,,man,7,8
Stewart Udall,,man,7,8
John Marsh,,man,7,8
Samuel Bowles,,man,7,8
Collis P. Huntington,,man,7,8
Leland H. Creer,,man,8,8
Leonidas G. Skliris,,man,6,8
John J. Mitty,,man,6,8
Charles B. Waite,,man,6,8
O. J. Hollister,,man,6,8
Juan de Onate,,man,6,8
William R. Wallace,,man,7,8
David Hewes,,man,6,8
Nathan Kimball,,man,7,8
Clarence E. Dutton,,man,7,8
Joseph Walker,JOSEPH WALKER,man,7,8
George Careless,,man,7,8
Henry Eyring,,man,7,8
Andrew Johnson,,man,7,8
Elwood Mead,,man,6,8
Albert Potter,,man,5,8
Samuel Fortier,,man,5,8
Arthur Stayner,,man,5,8
Saint Peter,,man,5,8
Elijah Averett,,man,5,8
Edward Jenner,,man,5,8
William Bringhurst,,man,5,8
Rufus Allen,,man,6,8
Sylvester Mowry,,man,5,8
William W. Drummond,,man,6,8
Jens Nielson,,man,6,8
George Armstrong,,man,5,8
John Wood,,man,6,8
A. Ray Olpin,,man,6,8
Edward H. Snow,,man,6,8
Frank Goodman,,man,6,8
G. K. Gilbert,,man,7,8
William Godbe,,man,7,8
Charles Dickens,,man,7,8
John Rich,,man,5,8
Stewart Van Vliet,,man,8,8
C. E. Loose,,man,8,8
Simon Lucero,,man,5,8
Stephen L. Richards,,man,6,8
J. King Robinson,,man,6,8
John L. Smith,,man,8,8
William H. Folsom,,man,4,8
Joseph Holbrook,,man,4,8
James Dwyer,,man,5,8
Sam Dorrity,,man,4,8
Warren Foote,,man,4,8
E. H. Callister,,man,5,8
John Jaques,,man,5,8
Elliott West,,man,6,8
Warren Angus Ferris,,man,5,8
Donald Worster,,man,7,8
Nephi L. Morris,,man,6,8
Richard White,,man,6,8
Will Rogers,,man,7,8
Willard Bay,,man,5,8
Thomas William,,man,7,8
E. F. Sheets,,man,6,8
Andrew Henry,,man,6,8
John Charles Frémont,,man,7,8
Joseph F. Merrill,,man,8,8
John Adams,,man,6,8
H. L. A. Culmer,H.L.A. Culmer; Harry Culmer; Henry Lavender Adolphus Culmer,man,5,8
John Clark,,man,7,8
James Arlington Bennet,,man,3,8
Owen Smith,,man,3,8
George Staheli,,man,3,8
John Cook,,man,3,8
William B. Smith,,man,3,8
John Barleycorn,,man,3,8
Francisco de Ibarra,,man,3,8
Joseph Smith Black,,man,3,8
Johnny Benow,,man,4,8
James Hendricks,,man,4,8
Warren S. Snow,,man,4,8
Henry B. M. Jolley,,man,3,8
James Jackson,,man,4,8
Henry D. Moyle,,man,4,8
John Tullidge,,man,4,8
John Whitmer,,man,5,8
Marriner Eccles,,man,4,8
John Lyon,,man,4,8
Harry Hopkins,,man,4,8
Thomas Robertson,,man,3,8
William G. Perkins,,man,3,8
John Bell,,man,6,8
James W. Cummings,,man,5,8
Edson Whipple,,man,5,8
Harry S. Truman,Harry S.Truman,man,7,8
John Duff,,man,6,8
Albert Petty,,man,4,8
Davis Gulch,,man,2,8
John H. Layton,,man,2,8
George W. Layton,,man,2,8
Charlie Steen,,man,2,8
Brian Head,,man,3,8
William Gibson,,man,2,8
James Emmett,,man,2,8
Dalton Wells,,man,2,8
Jonathan Hunt,,man,2,8
James Allred,,man,4,8
Edward Jagiello,,man,2,8
Brigham F. Grant,,man,4,8
Stephen T. Mather,,man,4,8
Heber Meeks,,man,3,8
Jonathan Heaton,,man,2,8
Orson B. Adams,,man,3,8
Don Juan Maria de Rivera,,man,5,8
Josiah F. Gibbs,,man,7,8
John Green,,man,3,8
Art Barn Project,,man,1,8
Thomas Baron,,man,1,8
Frank Bedke,,man,1,8
William B. Erekson,,man,1,8
David Hone,,man,1,8
Van Orman,,man,1,8
Timothy Mets,,man,1,8
Isaac Grundy,,man,2,8
Leonard Swett,,man,1,8
Stephen Forsdick,,man,1,8
Grant Redford,,man,1,8
Golden Oldroyd,,man,1,8
Frank Hall,,man,1,8
James Madison Monroe,,man,1,8
Oliver La Farge,,man,1,8
Harvey O’Higgins,,man,1,8
James Ririe,,man,1,8
Erwin Davis,,man,1,8
Thomas Virgin,,man,4,8
J. C. Wright,,man,5,8
Feramorz Y. Fox,,man,6,8
J. M. Bernhisel,,man,7,8
J. D. Williams,,man,3,8
Hark Lay,,man,3,8
Gammon Hayward,,man,1,8
F. M. Jones,,man,1,8
Shelby M. Cullom,,woman,6,8
Lucy A. Clark,,woman,4,8
Delia Ross,,woman,3,8
Elizabeth Cady Stanton,,woman,5,8
Addison Pratt,,woman,4,8
Maria Dolores,,woman,1,8
Jane Alice,,woman,1,8
Esther Landa,,woman,1,8
Prairie Waif,,woman,1,8
Nathan Meeker,,man,6,8
Almon Babbitt,,man,6,8
William Culp,,man,7,7
William Culp Darrah,,man,7,7
P. T. REILLY,P. T. Reilly,man,6,7
Fred T. DuBois,Fred T. Dubois,man,5,7
Comstock Lode,,man,6,7
Brevet Lieut,,man,6,7
John F. Steward,JOHN F. STEWARD,man,3,7
Robert S. Bliss,ROBERT S. BLISS,man,4,7
Lee Ferry,,man,2,7
Linda Thatcher,LINDA THATCHER,woman,7,7
Kenneth Davies,,man,6,7
Patrick Walsh,,man,6,7
Charles C. Goodwin,,man,6,7
Chief Kanosh,,man,7,7
Don Maguire,,man,5,7
John W. Dawson,,man,5,7
James Allen,,man,6,7
Alfred A. Knopf,,man,5,7
Alexander Neibaur,,man,5,7
Henry William,,man,2,7
Rufus B. Sage,,man,3,7
Edward Leo,,man,6,7
Palmer Raids,,man,1,7
Emma J. McVicker,,woman,4,7
Mary Isabella,,woman,3,7
Bernice Gibbs Anderson,,woman,4,7
W. R. Harris,,man,6,7
Carl A. Badger,,man,7,7
Joseph Sadoc Alemany,,man,7,7
R. C. Gemmel,,man,7,7
James H. Simpson,,man,6,7
William M. Stewart,,man,6,7
Nathaniel Galloway,,man,6,7
W. S. McCornick,,man,6,7
Earl J. Glade,,man,6,7
Jesse Gove,,man,6,7
Clarence E. Allen,,man,6,7
J. H. Strobridge,,man,6,7
Lorenzo Brown,,man,6,7
George L. Wood,,man,6,7
John Frank,,man,6,7
Henry M. Teller,,man,7,7
Richard K. A. Kletting,,man,7,7
Jeremiah S. Black,,man,7,7
John Nichols,,man,7,7
William Staines,,man,5,7
Ellsworth Kolb,,man,5,7
Frank H. Dyer,,man,5,7
John Dern,,man,5,7
Thomas O'Dea,,man,5,7
Richard Nixon,,man,5,7
Will Brooks,,man,5,7
Thomas Brown,,man,5,7
W. Mont Ferry,,man,5,7
James H. Martineau,,man,6,7
Francis E. Leupp,,man,6,7
Alexander von Humboldt,,man,6,7
Amos Burg,,man,5,7
Charles Rich,,man,6,7
Joseph Home,,man,6,7
Dan Weggeland,,man,5,7
S. W. Richards,,man,5,7
Zebulon Pike,,man,6,7
John Butt,,man,5,7
A. P. Hardy,,man,6,7
Enos A. Wall,,man,7,7
Strong Smith,,man,7,7
Clarence Neslen,,man,7,7
Noel Morss,,man,4,7
Henry Fiack,,man,4,7
Ken Sleight,,man,4,7
Charles Foster,,man,4,7
William W. Riter,,man,4,7
George Wright,,man,4,7
John Gray,,man,4,7
Fermin de Mendinueta,,man,4,7
Denis Kiely,,man,4,7
Charles L. Bernheimer,,man,4,7
John Vance,,man,4,7
P. L. Williams,,man,5,7
Owen Woodruff,,man,5,7
John Williams,,man,4,7
George Zeese,,man,6,7
John Allen,,man,5,7
Juan Bautista de Anza,,man,5,7
Henry Martin,,man,4,7
John Rogers,,man,5,7
John Harris,,man,6,7
Frederick Douglass,,man,6,7
Heber Kimbal,,man,5,7
John Rees,,man,5,7
Daniel Potts,,man,5,7
Andrew Karl Larson,,man,5,7
Pedro Mora,,man,7,7
Andrew Burt,,man,6,7
John Peter,,man,7,7
Pete Francis,,man,3,7
William Buys,,man,3,7
Charles A. Scott,,man,3,7
Joseph Russell,,man,3,7
Otis Marston,,man,3,7
Joseph Thomas,,man,3,7
Charles Ahlstrom,,man,3,7
Robert Allen,,man,3,7
Jesse Smith,,man,4,7
John Carson,,man,4,7
Thomas Grover,,man,4,7
W. C. Dunbar,,man,3,7
George Kirkham,,man,3,7
Charles H. Bigelow,,man,4,7
Lucien Fontenelle,,man,4,7
Clarence Dutton,,man,5,7
John L. Lewis,,man,3,7
George Hall,,man,5,7
John Hartnett,,man,4,7
John Rowberry,,man,5,7
Hyrum Stevens,,man,5,7
Albert F. Philips,,man,4,7
Richard L. Bushman,,man,4,7
Hardy Redd,,man,5,7
Benjamin R. Harries,,man,3,7
John H. Weber,,man,3,7
Andrew J. Russell,,man,5,7
George Cannon Young,,man,5,7
David E. Jackson,,man,4,7
Ben Tasker,,man,3,7
Robert Burns,,man,4,7
Abraham O. Woodruff,,man,3,7
Brigham H. Young,,man,7,7
Henry Moyle,,man,4,7
Edward L. Parry,,man,2,7
Lars Haugen,,man,2,7
George Fisher,,man,2,7
Fred Wada,,man,2,7
Byron Dussler,,man,2,7
North Wash,,man,2,7
Thomas J. Smith,,man,2,7
William Kay,,man,2,7
John Marriott,,man,2,7
Charles Mackay,,man,2,7
Shadrach Jones,,man,2,7
George Foote,,man,2,7
Eldon Dorman,,man,2,7
Samuel Pollock,,man,3,7
Charles Mogo,,man,2,7
Joel White,,man,2,7
John Comes,,man,3,7
George Donner,,man,3,7
Jim Jeffries,,man,2,7
Jared Farmer,,man,4,7
John E. Booth,,man,4,7
Walter Ruesch,,man,3,7
Oscar Crosby,,man,3,7
Rick Grunder,,man,2,7
Thomas Leiper Kane,,man,5,7
Phineas H. Young,,man,3,7
Hugh Nibley,,man,5,7
Jim Black,,man,1,7
Stan Tixier,,man,1,7
Craig Dangerfield,,man,1,7
Nephi Kemble,,man,1,7
Tommy Lasorda,,man,1,7
Anthony Hall,,man,1,7
John Cottam,,man,1,7
Ben Wetherill,,man,1,7
Stephen Hales,,man,1,7
John Strange,,man,1,7
Jack Jones,,man,1,7
Frank Gawan,,man,1,7
Max Florence,,man,1,7
Nate Fullmer,,man,1,7
Thomas Rasband,,man,1,7
John Florez,,man,2,7
Don Overly,,man,1,7
Charles Bigelow,,man,1,7
Milo Andrews,,man,2,7
Edward Carroll,,man,1,7
Van Frank,,man,2,7
Darin Dockstader,,man,1,7
John Calvin Perkins,,man,1,7
Paul Allred,,man,1,7
Arthur N. Taylor,,man,1,7
Henry Holt,,man,3,7
Henry Joy,,man,1,7
James M. Flake,,man,2,7
John P. Barnard,,man,2,7
William D. Roberts,,man,1,7
Henry Sherwood,,man,1,7
John Robertson,,man,3,7
Wilford Luce,,man,1,7
Bob Wick,,man,1,7
Hal Rothman,,man,2,7
Elijah Newman,,man,3,7
Ogden Freeman,,man,3,7
A. C. Nelson,,man,3,7
E. H. Snow,,man,2,7
Wood Reynolds,,man,2,7
Simpson Emmett,,man,2,7
Rolla West,,man,2,7
Jos Horn,,man,2,7
Cuero de Lobo,,man,1,7
Buckskin Charlie,,man,2,7
C. D. Burrill,,man,1,7
E. A. Day,,man,1,7
Bathsheba Smith,,woman,3,7
Ursulia B. Hascall,,woman,2,7
Emma Lucy Gates,,woman,7,7
Reva Beck Bosone,,woman,6,7
Marguerite L. Sinclair,,woman,6,7
Anna Howard Shaw,,woman,5,7
Jane Addams,,woman,5,7
Eliza Jane,,woman,3,7
Margaret Caine,,woman,5,7
Louise Van Ee,,woman,2,7
Amy Brown Lyman,,woman,2,7
Rama Mexicana,,woman,2,7
Mary Baker Eddy,,woman,2,7
May Swenson,,woman,2,7
Lucy Bigelow,,woman,2,7
Jeanne Gerson,,woman,2,7
Lucy Stone,,woman,3,7
Colleen Whitley,,woman,6,7
Emma Louisa,,woman,1,7
Emma Ray,,woman,1,7
Anna Dickenson,,woman,1,7
Henrietta Szold,,woman,1,7
Lucy Hoving,,woman,1,7
Madison Welch,,woman,1,7
Holly George,,woman,6,7
James Gordon,,man,7,7
John Wilson,,man,5,7
Taylor Act,,woman,3,7
Ed Loose,,man,1,6
Jean Bickmore,,man,6,6
S. Lyman Tyler,S. LYMAN TYLER,man,6,6
Jan Shipps,,man,5,6
Henry Harris,HENRY HARRIS,man,4,6
Ike Russell,,man,2,6
J. Kenneth Davies,,man,5,6
William Kittson,,man,5,6
William H. Jackson,,man,6,6
William Wall,,man,6,6
Arthur W. Moulton,,man,4,6
George A. Johnson,,man,3,6
Golden Jubilee,,man,4,6
William Ward,,man,2,6
Dock Marston,,man,2,6
Edwin G. Woolley,,man,2,6
Anna Maria,,woman,4,6
Mary Lee,,woman,3,6
Elizabeth Redd,,woman,1,6
J. H. Simpson,,man,6,6
D. C. Jackling,,man,6,6
West Evans,,man,6,6
Charles H. Spencer,,man,6,6
George W. Emery,,man,6,6
Amos Reed,,man,6,6
Francisco Silvestre,,man,6,6
Meriwether Lewis,,man,6,6
Jacob Thompson,,man,6,6
John Muir,,man,5,6
Ronald Reagan,,man,5,6
Herbert Eugene Bolton,,man,5,6
E. G. Peterson,,man,5,6
Carl M. Neuhausen,,man,5,6
Thomas J. Drake,,man,5,6
Joseph Rawlins,,man,5,6
Joseph Ridges,,man,5,6
George L. Woods,,man,5,6
George R. Maxwell,,man,5,6
Jeter Clinton,,man,5,6
John Judge,,man,5,6
James G. Blaine,,man,5,6
Oliver Wendell Holmes,,man,5,6
Horace K. Whitney,,man,5,6
Tomas Velez Cachupin,,man,5,6
James Smith,,man,5,6
Bill Haywood,,man,6,6
Elisha Kent Kane,,man,5,6
Calvin Rampton,,man,6,6
J. W. Haines,,man,5,6
John Nicholson,,man,6,6
James E. Kearney,,man,5,6
George Brooks,,man,6,6
James Davis,,man,6,6
J. M. Whitmore,,man,6,6
George Hearst,,man,6,6
Robert Mclntyre,,man,6,6
S. V. Jones,,man,5,6
Enoch Reese,,man,6,6
William Penn,,man,6,6
William Tecumseh Sherman,,man,6,6
Jacob S. Boreman,,man,6,6
Ernest Wilkinson,,man,6,6
Philo T. Farnsworth,,man,6,6
Robert N. Baskin,,man,6,6
William Willis,,man,6,6
Duane G. Hunt,,man,5,6
J. H. Paul,,man,4,6
Edwin Evans,,man,4,6
James Bleak,,man,4,6
Frederick Haynes Newell,,man,4,6
William Smart,,man,4,6
Marcus Daly,,man,4,6
George S. Peters,,man,4,6
William E. Smythe,,man,4,6
Phil Margetts,,man,4,6
Antoine Leroux,,man,4,6
E. B. Alexander,,man,4,6
Miles Romney,,man,4,6
John Tenas,,man,4,6
Samuel J. Hensley,,man,4,6
John Bartleson,,man,3,6
W. H. Powell,,man,4,6
Robert Tyler,,man,4,6
Jack Robinson,,man,4,6
John Jones,,man,4,6
John Johnson,,man,4,6
Joseph Rich,,man,4,6
Bus Hatch,,man,4,6
T. A. Larson,,man,5,6
Leonidas Skliris,,man,4,6
Edwin Woolley,,man,5,6
William Sublette,,man,5,6
George F. Richards,,man,4,6
Babe Ruth,,man,5,6
Daniel Tuttle,,man,5,6
George Hicks,,man,4,6
James McNally,,man,4,6
David H. Cannon,,man,5,6
John Van Cott,,man,4,6
William S. McCornick,,man,4,6
Thomas S. Williams,,man,4,6
Edwin F. Holmes,,man,4,6
Daniel Miller,,man,5,6
William Dunn,,man,5,6
Francis M. Bishop,,man,5,6
William T. Shelton,,man,4,6
Ray B. West,,man,4,6
William Grant,,man,5,6
John C. Bennett,,man,5,6
Daniel Boone,,man,4,6
Henry Davis,,man,5,6
Billy Wilson,,man,4,6
Richard Bush,,man,5,6
Thomas Moran,,man,6,6
Douglas MacArthur,,man,6,6
Russell G. Frazier,,man,6,6
J. J. Critchlow,,man,6,6
Thomas Smith,,man,6,6
Norman F. Furniss,,man,6,6
Edwin Dilworth Woolley,Dilworth Woolley,man,4,6
Frank Masland,,man,3,6
Ansel Adams,,man,3,6
Yanco Terzich,,man,3,6
Warren Patten,,man,3,6
E. H. Dyer,,man,3,6
John Jordan,,man,3,6
Oscar Wilde,,man,3,6
Joshua Arthur,,man,3,6
Cameron Brown,,man,3,6
Russell Lee,,man,3,6
Robert J. Walker,,man,3,6
William Edwards,,man,3,6
James Martineau,,man,3,6
Fred Dellenbaugh,,man,3,6
William Shearman,,man,4,6
George Austin,,man,4,6
James Clove,,man,4,6
Caleb Greenwood,,man,4,6
Ebenezer Bryce,,man,4,6
Darnel Haney,,man,3,6
Richard Young,,man,3,6
Joseph Hill,,man,4,6
Duncan Brite,,man,3,6
Howell Cobb,,man,4,6
John Reese,,man,4,6
E. A. Wall,,man,3,6
Floyd O’Neil,,man,3,6
Pegleg Smith,,man,3,6
James Fennemore,,man,5,6
Niels Jensen,,man,3,6
Willard Weihe,,man,3,6
W. Cleon Skousen,,man,4,6
Alfred A. Hart,,man,5,6
Heber Kimball,,man,4,6
Richard Lyman,,man,4,6
John K. Hiller,,man,5,6
James H. Mays,,man,4,6
Lazarus W. Powell,,man,6,6
Lyndon B. Johnson,,man,6,6
Thomas Williams,,man,6,6
William Wolfskill,,man,5,6
Franklin S. Harris,,man,5,6
Nephi W. Clayton,,man,4,6
Thomas J. Farnham,,man,4,6
Reynolds Cahoon,,man,6,6
William Henry Ashley,,man,5,6
Horace Eldredge,,man,3,6
Arthur Brown Bradley,,man,2,6
John B. Fairbanks,,man,2,6
Leo Haefeli,,man,2,6
John Lawson,,man,2,6
Henry Schlacks,,man,2,6
Ephraim Logan,,man,2,6
Arthur Rothstein,,man,2,6
Charles Johnson,,man,2,6
Lewis Robison,,man,2,6
Thomas J. Parmley,,man,2,6
Herbert Gregory,,man,2,6
Harold Wagstaff,,man,2,6
Thomas Frazer,,man,2,6
Robert Sloan,,man,2,6
Samuel P. Hoyt,,man,2,6
Oliver Cromwell,,man,2,6
Sam Taylor,,man,2,6
Diego de Pefialosa,,man,2,6
Jacob Donner,,man,2,6
James Anderson,,man,3,6
Alfred Hart,,man,2,6
Kirk Anderson,,man,3,6
Einar Fredbo,,man,2,6
Herschel Bullen,,man,3,6
Thomas Howard,,man,3,6
Henry Glassie,,man,3,6
Orville Pratt,,man,3,6
Isaac Hockaday,,man,3,6
Joseph Allen,,man,2,6
Ephraim Pectol,,man,2,6
Moroni Clawson,,man,2,6
Thomas N. Taylor,,man,2,6
Hyrum Burgess,,man,3,6
Robert L. King,,man,2,6
Allen Frost,,man,3,6
Albert Grant,,man,2,6
Isaiah Bowers,,man,2,6
Jordan Bean,,man,2,6
Joseph Toronto,,man,3,6
John Dennett,,man,2,6
Scott King,,man,2,6
David Fullmer,,man,3,6
Bishop Thurber,,man,2,6
Forrest Cuch,,man,2,6
Harold Knapp,,man,2,6
James E. Gurr,,man,3,6
James Henry Moyle,,man,3,6
Isaac Behunin,,man,3,6
Albert K. Thurber,,man,4,6
Willy Wehler,,man,2,6
John Doyle Lee,,man,6,6
Ed Dalton,,man,1,6
Jack Delano,,man,1,6
Carl Zahos,,man,1,6
Marcell Pitcher,,man,1,6
Monty Atwater,,man,1,6
Don Loosle,,man,1,6
Jimmy Hay,,man,1,6
Peter Lautensock,,man,1,6
Jakob Brand,,man,1,6
Bert Truman,,man,1,6
Monroe Lowder,,man,1,6
Carl Scott,,man,1,6
Sumner Howard,,man,1,6
Thomas Herbert,,man,1,6
Brigham Bicknell,,man,1,6
James Gay,,man,1,6
Joseph Anderson,,man,1,6
Marlow Jones,,man,1,6
Rush Kohler,,man,1,6
John Michelog,,man,1,6
Nathaniel Leavitt,,man,1,6
Harvey Mohr,,man,1,6
Christopher Fallon,,man,2,6
Charles Flynn,,man,1,6
Theron Johnson,,man,1,6
Charlie Bosshardt,,man,1,6
Jody Wood,,man,2,6
George Prowse,,man,1,6
Karl May,,man,1,6
William B. Waddell,,man,1,6
Vinson Davis,,man,1,6
James Madison Welch,,man,1,6
Robert L. Bennett,,man,1,6
Fred Hale,,man,1,6
Charles DeMolli,,man,1,6
Andrew Andersen,,man,1,6
John P. Green,,man,1,6
Charles G. Patterson,,man,1,6
George Plitt,,man,1,6
James E. Ayres,,man,1,6
Miles Miller,,man,2,6
Harry Waite,,man,1,6
John E. Jones,,man,3,6
John Davis,,man,1,6
Antone Prince,,man,1,6
Sheriff Wilcox,,man,1,6
Paul Crouch,,man,1,6
Rupert Brooke,,man,1,6
Martin Luther King Jr.,,man,3,6
Hal Schindler,,man,3,6
Dave Willis,,man,1,6
Tom Atkins,,man,1,6
Pratt Seegmiller,,man,3,6
E. G. Woolley,,man,4,6
J. G. McDonald,,man,2,6
Barnard Stewart,,man,2,6
H. J. Faust,,man,3,6
Tug Wilson,,man,2,6
Obert Tanner,,man,2,6
Quong Wah,,man,2,6
Zerubabbel Snow,,man,3,6
J. V. Long,,man,4,6
Huck Adelt,,man,1,6
Hyman Jacobs,,man,1,6
Harriet Beecher Stowe,,woman,5,6
Aquila Nebeker,,woman,5,6
Mary Alice,,woman,4,6
Fanny Stenhouse,,woman,5,6
Elizabeth Ann,,woman,4,6
Ida Husted Harper,,woman,4,6
Jane S. Richards,,woman,5,6
Josephine Streeper Chase,,woman,3,6
Annie Adams,,woman,3,6
Tamar Hamblin,,woman,2,6
Mary Isabella Horne,,woman,2,6
Sondra Jones,,woman,3,6
Luella McAllister,,woman,2,6
Virginia Snow Stephen,,woman,3,6
Josie Maxfield,,woman,2,6
Marion J. Shelton,,woman,3,6
Coretta Scott King,,woman,2,6
Miriam Murphy,,woman,5,6
Christine Armbruster,,woman,1,6
Rose Arnovitz,,woman,1,6
Patricia Sanchez,,woman,1,6
Mary Holiday Black,,woman,1,6
Susan Julia,,woman,1,6
Anne Bradley,,woman,1,6
Tracy Aviary,,woman,1,6
Elise Musser,,woman,1,6
Margaret Haley,,woman,1,6
Clara Young,,woman,1,6
Mary Larsen,,woman,1,6
Lydia Margaret,,woman,2,6
Barbara McDonald,,woman,1,6
Carrie Dann,,woman,1,6
Mary Shaw,,woman,1,6
Harry Truman,,man,6,6
JAMES B. ALLEN,,man,5,5
JAMES B. ALLEN,,man,5,5
Garfield Smelter,,man,3,5
EDWARD A. GEARY,Edward A. Geary,man,4,5
EUGENE E. CAMPBELL,Eugene E. Campbell,man,5,5
Hamilton Gardner,,man,4,5
Bert Loper,,man,5,5
Robert G. Athearn,ROBERT G. ATHEARN,man,4,5
Blue Knoll,,man,1,5
Clara Decker,,woman,4,5
Franklin Spencer Spalding,,man,5,5
Mark A. Pendleton,,man,4,5
Clement Powell,,man,4,5
Jack Goodman,,man,5,5
George P. Hammond,,man,5,5
William Harrison Folsom,,man,3,5
Arthur Conan Doyle,,man,4,5
Isaac Chase,,man,4,5
George W. Baker,,man,2,5
Fritz Rettich,,man,1,5
John T. Baker,,man,1,5
W. A. Ferris,,man,4,5
Seymour Miller,,man,2,5
Ellen Powell Thompson,,woman,2,5
Mary Johnson,,woman,1,5
Henry David Thoreau,,man,5,5
Jake Garn,,man,5,5
Daniel Seegmiller,,man,5,5
Henry Gardner,,man,5,5
John W. Phelps,,man,5,5
Thomas Fork,,man,5,5
Silas Seymour,,man,5,5
Stephen Watts Kearny,,man,5,5
Edwin Booth,,man,5,5
C. C. A. Christensen,,man,5,5
Joseph Reddeford Walker,,man,5,5
W. S. Godbe,,man,5,5
E. H. Harriman,,man,5,5
Juan de Aguilar,,man,5,5
Stephen Markham,,man,5,5
Thomas Edison,,man,5,5
William Brown,,man,5,5
Jonathan Edwards,,man,5,5
Klaus Hansen,,man,5,5
William Pitt,,man,5,5
Henry Ward,,man,5,5
William Carter,,man,3,5
Frederick G. Williams,,man,4,5
George Bailey,,man,4,5
James Wilson,,man,4,5
David W. Evans,,man,4,5
John Leventis,,man,4,5
James C. Van Dyke,,man,4,5
Peter Goss,,man,4,5
Edward Jenner Steptoe,,man,4,5
Walter K. Granger,,man,4,5
Don Juan de Onate,,man,4,5
William Sherman,,man,4,5
Milton Cogswell,,man,4,5
William M. Knerr,,man,4,5
Charles Sumner,,man,4,5
Louie B. Felt,,man,4,5
Almon H. Thompson,,man,4,5
Isaac Riddle,,man,4,5
Thomas Cutler,,man,4,5
Thomas Ford,,man,4,5
William W. Cluff,,man,4,5
Edward Southwick,,man,4,5
Norman Thomas,,man,4,5
Elias A. Smith,,man,4,5
George Beck,,man,4,5
James McKean,,man,4,5
John Mitchell,,man,4,5
Bolivar Roberts,,man,4,5
John Scowcroft,,man,4,5
Joseph C. Ives,,man,4,5
John Thompson,,man,4,5
John Thomas,,man,4,5
Edward Bunker,,man,4,5
Shadrach Roundy,,man,4,5
John Marshall,,man,4,5
Samuel Adams,,man,4,5
Nicholas Groesbeck,,man,4,5
Robert Brown,,man,4,5
Heber Bennion,,man,4,5
Billy Sunday,,man,4,5
Julius F. Stone,,man,4,5
Thomas T. Thornburg,,man,4,5
William H. Spry,,man,4,5
Jesse Jennings,,man,5,5
A. P. K. Safford,,man,5,5
